GROUP A RESULTS


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
| 0x0835ecd15ddf08d4786304d71b4672dc5c40f011.sol | 10.16%               | 21.88% (+115.38%)    | 21.88% (+115.38%)    | 21.48% (+111.54%)    |
| 0xc77b230f31b517f1ef362e59c173c2be6540b5e8.sol | 45.83%               | 38.89% (-15.15%)     | 55.09% (+20.20%)     | 57.41% (+25.25%)     |
| 0xae353daeed8dcc7a9a12027f7e070c0a50b7b6a4.sol | 28.50%               | 41.55% (+45.76%)     | 41.06% (+44.07%)     | 42.03% (+47.46%)     |
| 0x7d3b3b1aef60bf891bc2ad3c202f791707f0645c.sol | 44.54%               | 48.74% (+9.43%)      | 52.94% (+18.87%)     | 46.22% (+3.77%)      |
| 0x4cf488387f035ff08c371515562cba712f9015d4.sol | 44.30%               | 49.12% (+10.89%)     | 48.25% (+8.91%)      | 52.19% (+17.82%)     |
| 0x9bbb9387c9e2477a6b5d81afece00255875c48ce.sol | 42.19%               | 41.67% (-1.23%)      | 47.14% (+11.73%)     | 44.79% (+6.17%)      |
| 0x636991bf69febcdd9eb1a58e11021d33d40c5660.sol | 40.29%               | 52.94% (+31.39%)     | 41.18% (+2.19%)      | 48.82% (+21.17%)     |
| 0x781fb4f25d07de3f3cfe2476645e52e0c661eefc.sol | 54.92%               | 56.97% (+3.73%)      | 58.20% (+5.97%)      | 47.13% (-14.18%)     |
| 0xdf6ef343350780bf8c3410bf062e0c015b1dd671.sol | 39.67%               | 37.47% (-5.56%)      | 38.84% (-2.08%)      | 39.12% (-1.39%)      |
| 0x08d32b0da63e2c3bcf8019c9c5d849d7a9d791e6.sol | 42.39%               | 35.92% (-15.27%)     | 53.72% (+26.72%)     | 36.25% (-14.50%)     |
| 0x04de23e912cec433eabf3260ecc71cfd1f9d328f.sol | 29.79%               | 48.94% (+64.29%)     | 48.51% (+62.86%)     | 50.64% (+70.00%)     |
| 0xd8d48e52f39ab2d169c8b562c53589e6c71ac4d3.sol | 29.91%               | 31.62% (+5.71%)      | 36.18% (+20.95%)     | 36.18% (+20.95%)     |
| 0x264dc2dedcdcbb897561a57cba5085ca416fb7b4.sol | 27.85%               | 45.57% (+63.64%)     | 40.51% (+45.45%)     | 43.67% (+56.82%)     |
| 0x3cc83c2400e00a54fa1e588d62bc28bf15d5def5.sol | 44.58%               | 42.97% (-3.60%)      | 53.01% (+18.92%)     | 40.56% (-9.01%)      |
| 0xf34839b310097fcb4cf3a302dda8cc9b57501083.sol | 50.61%               | 54.69% (+8.06%)      | 56.33% (+11.29%)     | 56.33% (+11.29%)     |
| 0xbd65f6f9f9f87af2a677709e132debc3f242671d.sol | 42.44%               | 52.52% (+23.76%)     | 46.64% (+9.90%)      | 47.06% (+10.89%)     |
| 0x59335080522fa941bcbdb6e15a6f2ee5a455dc5a.sol | 31.67%               | 35.67% (+12.63%)     | 38.00% (+20.00%)     | 40.33% (+27.37%)     |
| 0xbf8be431aa8d8b2f58b6f0727c25a67b41beaaf8.sol | 43.50%               | 33.69% (-22.56%)     | 42.71% (-1.83%)      | 42.71% (-1.83%)      |
| 0xd4e26b4e8e9881e8905315aba189b694f2307757.sol | 38.89%               | 49.07% (+26.19%)     | 50.46% (+29.76%)     | 46.30% (+19.05%)     |
| 0x08b67e38b4ecc788eb0cfbab72074c374ecddbf3.sol | 41.00%               | 48.00% (+17.07%)     | 42.67% (+4.07%)      | 53.00% (+29.27%)     |
| 0xe12128d653b62f08fbed56bdeb65db729b6691c3.sol | 33.50%               | 33.50% (0.00%)       | 33.50% (0.00%)       | 33.50% (0.00%)       |
| 0x984c134a8809571993fd1573fb99f06dc61e216f.sol | 27.42%               | 31.45% (+14.71%)     | 31.45% (+14.71%)     | 31.45% (+14.71%)     |
| 0x6531f133e6deebe7f2dce5a0441aa7ef330b4e53.sol | 41.55%               | 41.00% (-1.33%)      | 40.44% (-2.67%)      | 37.12% (-10.67%)     |
| 0x48c1b2f3efa85fbafb2ab951bf4ba860a08cdbb7.sol | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| 0xffa93aacf49297d51e211817452839052fdfb961.sol | 31.32%               | 47.17% (+50.60%)     | 45.28% (+44.58%)     | 44.53% (+42.17%)     |
| 0xfa7c200d0c1e6f0117ffc7b2f2485c53fd4c1ac4.sol | 52.96%               | 54.44% (+2.80%)      | 43.70% (-17.48%)     | 44.81% (-15.38%)     |
