GROUP B RESULTS


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
| 0x57c8d5d5b87a1580fdaf996cef674bb0d7f14c98.sol | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| 0x0f00f1696218eaefa2d2330df3d6d1f94813b38f.sol | 26.00%               | 28.25% (+8.65%)      | 28.25% (+8.65%)      | 29.75% (+14.42%)     |
| 0x59de2a5c00c7ee1c9cc823146cd18580fc5ff7b5.sol | 34.85%               | 31.63% (-9.24%)      | 38.51% (+10.50%)     | 35.29% (+1.26%)      |
| 0x9ede87077078aee6eaaa96cbee47726a85c7c161.sol | 42.94%               | 46.89% (+9.21%)      | 57.06% (+32.89%)     | 47.74% (+11.18%)     |
| 0xccda5213d453388fb5fb43054bc261c8636b1e51.sol | 29.67%               | 24.36% (-17.90%)     | 26.19% (-11.73%)     | 31.14% (+4.94%)      |
| 0x9884d4e9b305ad015168e9d6e4400582dce2cd59.sol | 42.41%               | 25.67% (-39.47%)     | 42.63% (+0.53%)      | 24.11% (-43.16%)     |
| 0xb3775fb83f7d12a36e0475abdd1fca35c091efbe.sol | 23.41%               | 23.41% (0.00%)       | 23.41% (0.00%)       | 23.41% (0.00%)       |
| 0x6851a80b7655e36e1f04e383b5946dafe9c63ab2.sol | 27.81%               | 34.44% (+23.85%)     | 28.06% (+0.92%)      | 34.95% (+25.69%)     |
| 0x1afafc35b364595f06e89a0429c5762452eb7ffd.sol | 29.84%               | 36.01% (+20.69%)     | 34.57% (+15.86%)     | 53.29% (+78.62%)     |
| 0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e.sol | 37.24%               | 33.68% (-9.55%)      | 25.52% (-31.46%)     | 32.85% (-11.80%)     |
| 0xa38fcedd23de2191dc27f9a0240ac170be0a14fe.sol | 14.64%               | 16.96% (+15.79%)     | 14.64% (0.00%)       | 15.99% (+9.21%)      |
| 0xefcec6d87e3ce625c90865a49f2b7482963d73fe.sol | 35.66%               | 30.67% (-13.99%)     | 41.65% (+16.78%)     | 33.92% (-4.90%)      |
| 0x999d332eee57452cf07bceec365fd35ba5c142cb.sol | 44.40%               | 45.04% (+1.46%)      | 45.04% (+1.46%)      | 46.34% (+4.37%)      |
| 0xcdf7cfc9f7c129a0d7aec376bc205ab87fc878e1.sol | 25.93%               | 29.19% (+12.61%)     | 25.71% (-0.84%)      | 28.10% (+8.40%)      |
| 0xabefec93451a2cd5d864ff7b0b1604dfc60e9688.sol | 24.31%               | 24.31% (0.00%)       | 24.31% (0.00%)       | 24.31% (0.00%)       |
----------------------------------------------------------------------------------------------------------------------------------------------
| AVERAGE                                       | 31.21%               | 33.77% (+8.22%)      | 34.31% (+9.94%)      | 33.99% (+8.92%)      |
----------------------------------------------------------------------------------------------------------------------------------------------


AVERAGE COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| 0xbd73e675e1fa3d60a302c797df5c82e558da7ce1.sol | 14.23%               | 14.82% (+4.13%)      | 14.55% (+2.27%)      | 14.85% (+4.37%)      |
| 0x0946e36c2887025c389ef85ea5f9150e0bed4d69.sol | 5.71%                | 5.63% (-1.40%)       | 5.86% (+2.56%)       | 5.90% (+3.43%)       |
| 0x6beb418fc6e1958204ac8baddcf109b8e9694966.sol | 6.84%                | 6.89% (+0.66%)       | 7.00% (+2.37%)       | 7.13% (+4.18%)       |
| 0xf84c61bb982041c030b8580d1634f00fffb89059.sol | 5.24%                | 4.97% (-5.17%)       | 5.77% (+9.94%)       | 4.96% (-5.41%)       |
| 0x792e0fc822ac6ff5531e46425f13540f1f68a7a8.sol | 5.06%                | 5.46% (+7.94%)       | 5.64% (+11.41%)      | 5.80% (+14.74%)      |
| 0xc2807533832807bf15898778d8a108405e9edfb1.sol | 4.60%                | 4.65% (+1.08%)       | 4.53% (-1.61%)       | 4.57% (-0.71%)       |
| 0x46b9ad944d1059450da1163511069c718f699d31.sol | 6.70%                | 6.47% (-3.48%)       | 6.40% (-4.46%)       | 6.31% (-5.78%)       |
| 0x7f6f3012373b4fc7c33812402a880407eeac317c.sol | 5.19%                | 5.38% (+3.65%)       | 5.02% (-3.26%)       | 5.69% (+9.62%)       |
| 0x56f527c3f4a24bb2beba449ffd766331da840ffa.sol | 6.80%                | 7.37% (+8.30%)       | 6.92% (+1.78%)       | 7.15% (+5.08%)       |
| 0x8e5610ab5e39d26828167640ea29823fe1dd5843.sol | 7.08%                | 7.06% (-0.24%)       | 7.14% (+0.87%)       | 7.07% (-0.17%)       |
| 0xd83caa129d9d7080a15d26499733f783eb14e667.sol | 6.61%                | 6.75% (+2.04%)       | 6.46% (-2.28%)       | 6.60% (-0.11%)       |
| 0x4355fc160f74328f9b383df2ec589bb3dfd82ba0.sol | 7.14%                | 6.98% (-2.30%)       | 7.37% (+3.17%)       | 7.16% (+0.20%)       |
| 0x526af336d614ade5cc252a407062b8861af998f5.sol | 2.91%                | 2.92% (+0.48%)       | 2.84% (-2.41%)       | 2.86% (-1.64%)       |
| 0x9469d013805bffb7d3debe5e7839237e535ec483.sol | 7.33%                | 6.73% (-8.12%)       | 7.55% (+2.95%)       | 6.58% (-10.18%)      |
| 0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2.sol | 5.98%                | 5.06% (-15.35%)      | 6.41% (+7.10%)       | 6.22% (+3.94%)       |
| 0x490c95be16384e1f28b9e864e98ffecfcbff386d.sol | 7.98%                | 8.31% (+4.13%)       | 8.29% (+3.90%)       | 8.28% (+3.76%)       |
| 0x457476bc97adef10aba63fcadaefe503553fa0d2.sol | 4.38%                | 4.53% (+3.45%)       | 4.39% (+0.22%)       | 4.40% (+0.31%)       |
| 0x5136c98a80811c3f46bdda8b5c4555cfd9f812f0.sol | 7.89%                | 7.74% (-1.92%)       | 7.66% (-2.88%)       | 7.65% (-3.01%)       |
| 0xa146240bf2c04005a743032dc0d241ec0bb2ba2b.sol | 7.14%                | 7.12% (-0.22%)       | 7.04% (-1.40%)       | 7.02% (-1.62%)       |
| 0x4e15361fd6b4bb609fa63c81a2be19d873717870.sol | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| 0x649eff2dc5d9c5c641260c8b9bede4770fccf5e7.sol | 5.95%                | 6.02% (+1.22%)       | 5.88% (-1.09%)       | 6.02% (+1.33%)       |
| 0x41cd7bbab5758b3b675281f3ead24e666f2b1f0e.sol | 8.54%                | 8.61% (+0.78%)       | 8.44% (-1.15%)       | 8.95% (+4.75%)       |
| 0xbfde6246df72d3ca86419628cac46a9d2b60393c.sol | 5.73%                | 5.70% (-0.52%)       | 5.87% (+2.50%)       | 5.54% (-3.31%)       |
| 0x215ce36e90b1b64e6fa2e358305177f8fe5daf25.sol | 4.88%                | 5.00% (+2.53%)       | 4.92% (+0.78%)       | 5.73% (+17.40%)      |
| 0xffe02ee4c69edf1b340fcad64fbd6b37a7b9e265.sol | 5.49%                | 5.25% (-4.39%)       | 5.41% (-1.57%)       | 5.24% (-4.57%)       |
| 0xe11609b9a51caf7d32a55896386ac52ed90e66f1.sol | 5.68%                | 5.52% (-2.84%)       | 5.54% (-2.42%)       | 5.84% (+2.88%)       |
| 0x2cc114bbe7b551d62b15c465c7bdcccd9125b182.sol | 5.43%                | 5.30% (-2.52%)       | 5.40% (-0.59%)       | 5.47% (+0.66%)       |
| 0x33bb55835499b4013686e39de293ee4d832bbca4.sol | 4.78%                | 5.05% (+5.62%)       | 5.12% (+7.22%)       | 5.05% (+5.58%)       |
| 0xb70835d7822ebb9426b56543e391846c107bd32c.sol | 5.52%                | 5.40% (-2.24%)       | 5.46% (-1.06%)       | 5.48% (-0.72%)       |
| 0x41a322b28d0ff354040e2cbc676f0320d8c8850d.sol | 5.54%                | 5.62% (+1.55%)       | 5.57% (+0.57%)       | 5.56% (+0.41%)       |
