GROUP B RESULTS


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
| lottery.sol                                   | 61.76%               | 76.47% (+23.81%)     | 52.94% (-14.29%)     | 79.41% (+28.57%)     |
| simple_dao.sol                                | 60.00%               | 64.00% (+6.67%)      | 64.00% (+6.67%)      | 64.00% (+6.67%)      |
| 0x4051334adc52057aca763453820cb0e045076ef3.sol | 81.25%               | 75.00% (-7.69%)      | 81.25% (0.00%)       | 75.00% (-7.69%)      |
| 0xa1fceeff3acc57d257b917e30c4df661401d6431.sol | 74.07%               | 70.37% (-5.00%)      | 74.07% (0.00%)       | 70.37% (-5.00%)      |
| 0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol | 57.14%               | 63.27% (+10.71%)     | 59.18% (+3.57%)      | 67.35% (+17.86%)     |
| 0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4.sol | 66.67%               | 66.67% (0.00%)       | 66.67% (0.00%)       | 66.67% (0.00%)       |
| 0xbaa3de6504690efb064420d89e871c27065cdd52.sol | 68.00%               | 68.00% (0.00%)       | 62.00% (-8.82%)      | 62.00% (-8.82%)      |
----------------------------------------------------------------------------------------------------------------------------------------------
| AVERAGE                                       | 60.90%               | 62.52% (+2.66%)      | 61.52% (+1.01%)      | 62.42% (+2.48%)      |
----------------------------------------------------------------------------------------------------------------------------------------------


AVERAGE COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| unchecked_return_value.sol                    | 41.47%               | 42.27% (+1.94%)      | 42.37% (+2.18%)      | 42.48% (+2.44%)      |
| 0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol | 61.00%               | 61.06% (+0.10%)      | 64.25% (+5.33%)      | 64.04% (+4.97%)      |
| 0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.sol | 17.47%               | 17.67% (+1.14%)      | 17.35% (-0.68%)      | 17.24% (-1.29%)      |
| 0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol | 25.78%               | 25.78% (+0.01%)      | 25.78% (+0.02%)      | 25.78% (+0.01%)      |
| 0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol | 22.61%               | 22.79% (+0.81%)      | 22.62% (+0.04%)      | 22.96% (+1.56%)      |
| guess_the_random_number.sol                   | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| reentrancy_bonus.sol                          | 33.14%               | 32.40% (-2.23%)      | 32.78% (-1.09%)      | 32.73% (-1.23%)      |
