AVERAGE RESULTS


TRANSACTION COUNT RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| count                                         | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| transaction_count                             | 1415.10              | 1460.90 (+3.24%)     | 1465.11 (+3.53%)     | 1295.51 (-8.45%)     |
----------------------------------------------------------------------------------------------------------------------------------------------


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| etherpot_lotto.sol                            | 28.17%               | 31.69% (+12.50%)     | 31.69% (+12.50%)     | 31.69% (+12.50%)     |
| etherstore.sol                                | 36.11%               | 52.78% (+46.15%)     | 52.78% (+46.15%)     | 52.78% (+46.15%)     |
| guess_the_random_number.sol                   | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| king_of_the_ether_throne.sol                  | 22.02%               | 22.94% (+4.17%)      | 22.94% (+4.17%)      | 22.94% (+4.17%)      |
| lottery.sol                                   | 58.82%               | 47.06% (-20.00%)     | 79.41% (+35.00%)     | 61.76% (+5.00%)      |
| lotto.sol                                     | 36.11%               | 38.89% (+7.69%)      | 38.89% (+7.69%)      | 33.33% (-7.69%)      |
| lucky_doubler.sol                             | 18.25%               | 23.02% (+26.09%)     | 19.84% (+8.70%)      | 21.43% (+17.39%)     |
| mishandled.sol                                | 66.67%               | 66.67% (0.00%)       | 66.67% (0.00%)       | 66.67% (0.00%)       |
| old_blockhash.sol                             | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| reentrance.sol                                | 45.83%               | 50.00% (+9.09%)      | 50.00% (+9.09%)      | 50.00% (+9.09%)      |
| reentrancy_bonus.sol                          | 83.33%               | 83.33% (0.00%)       | 83.33% (0.00%)       | 83.33% (0.00%)       |
| reentrancy_cross_function.sol                 | 76.19%               | 80.95% (+6.25%)      | 80.95% (+6.25%)      | 80.95% (+6.25%)      |
| reentrancy_dao.sol                            | 81.25%               | 81.25% (0.00%)       | 81.25% (0.00%)       | 81.25% (0.00%)       |
| reentrancy_insecure.sol                       | 78.57%               | 78.57% (0.00%)       | 78.57% (0.00%)       | 78.57% (0.00%)       |
| reentrancy_simple.sol                         | 55.00%               | 55.00% (0.00%)       | 55.00% (0.00%)       | 55.00% (0.00%)       |
| simple_dao.sol                                | 60.00%               | 64.00% (+6.67%)      | 64.00% (+6.67%)      | 64.00% (+6.67%)      |
| unchecked_return_value.sol                    | 81.25%               | 81.25% (0.00%)       | 81.25% (0.00%)       | 81.25% (0.00%)       |
| smart_billions.sol                            | 45.93%               | 47.31% (+3.02%)      | 49.39% (+7.55%)      | 50.09% (+9.06%)      |
----------------------------------------------------------------------------------------------------------------------------------------------
| AVERAGE                                       | 59.42%               | 60.15% (+1.22%)      | 60.32% (+1.51%)      | 59.68% (+0.44%)      |
----------------------------------------------------------------------------------------------------------------------------------------------


AVERAGE COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| 0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol | 19.63%               | 19.61% (-0.13%)      | 20.20% (+2.88%)      | 19.64% (+0.02%)      |
| 0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol | 65.25%               | 65.60% (+0.52%)      | 64.08% (-1.81%)      | 66.01% (+1.15%)      |
| 0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol | 7.25%                | 7.09% (-2.31%)       | 7.09% (-2.28%)       | 7.13% (-1.75%)       |
| 0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol | 60.40%               | 61.42% (+1.68%)      | 63.13% (+4.52%)      | 64.01% (+5.97%)      |
| 0x39cfd754c85023648bf003bea2dd498c5612abfa.sol | 17.57%               | 17.63% (+0.30%)      | N/A                  | 17.72% (+0.81%)      |
| 0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol | 16.97%               | 16.76% (-1.25%)      | 16.74% (-1.34%)      | 16.76% (-1.25%)      |
| 0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol | 18.90%               | 18.50% (-2.11%)      | 18.43% (-2.52%)      | 18.63% (-1.44%)      |
| 0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol | 17.18%               | 16.60% (-3.42%)      | 17.05% (-0.76%)      | 16.79% (-2.30%)      |
| 0x4051334adc52057aca763453820cb0e045076ef3.sol | 66.53%               | 54.47% (-18.12%)     | 68.25% (+2.59%)      | 68.40% (+2.82%)      |
| 0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol | 19.43%               | 20.33% (+4.58%)      | N/A                  | 20.34% (+4.66%)      |
| 0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol | 25.78%               | 25.78% (+0.00%)      | 25.78% (+0.00%)      | 25.78% (+0.00%)      |
| 0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol | 64.03%               | 66.87% (+4.43%)      | 65.74% (+2.68%)      | 67.41% (+5.28%)      |
| 0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol | 19.85%               | 19.45% (-2.03%)      | N/A                  | 20.11% (+1.31%)      |
| 0x524960d55174d912768678d8c606b4d50b79d7b1.sol | 66.59%               | 66.58% (-0.02%)      | 66.59% (-0.01%)      | 66.60% (+0.00%)      |
| 0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol | N/A                  | 21.59% (-121.59%)    | 21.95% (-121.95%)    | N/A                  |
| 0x561eac93c92360949ab1f1403323e6db345cbf31.sol | 19.91%               | 19.61% (-1.50%)      | 20.06% (+0.76%)      | 19.54% (-1.85%)      |
| 0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol | 19.23%               | 18.71% (-2.72%)      | 18.97% (-1.34%)      | 19.11% (-0.62%)      |
| 0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol | 16.36%               | 16.33% (-0.20%)      | 16.28% (-0.52%)      | 16.63% (+1.63%)      |
| 0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol | 17.77%               | 17.60% (-0.97%)      | 17.63% (-0.83%)      | 17.42% (-1.99%)      |
| 0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4.sol | 18.43%               | 18.58% (+0.80%)      | 18.26% (-0.91%)      | 17.64% (-4.32%)      |
| 0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol | 17.31%               | 16.98% (-1.94%)      | 17.34% (+0.14%)      | 16.79% (-3.02%)      |
| 0x7a4349a749e59a5736efb7826ee3496a2dfd5489.sol | 17.77%               | 17.53% (-1.35%)      | 17.68% (-0.50%)      | 17.99% (+1.23%)      |
| 0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol | 21.92%               | 22.72% (+3.65%)      | 22.54% (+2.80%)      | 23.36% (+6.55%)      |
| 0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol | 19.08%               | 18.43% (-3.41%)      | 18.87% (-1.12%)      | 18.17% (-4.79%)      |
| 0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8.sol | N/A                  | 11.71% (-111.71%)    | 11.53% (-111.53%)    | N/A                  |
| 0x89c1b3807d4c67df034fffb62f3509561218d30b.sol | 7.33%                | 7.30% (-0.36%)       | 7.18% (-2.08%)       | 7.23% (-1.43%)       |
| 0x8fd1e427396ddb511533cf9abdbebd0a7e08da35.sol | 17.04%               | 17.02% (-0.09%)      | 16.88% (-0.90%)      | 16.98% (-0.32%)      |
| 0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol | 16.08%               | 16.29% (+1.35%)      | 16.27% (+1.20%)      | 16.16% (+0.54%)      |
| 0x9d06cbafa865037a01d322d3f4222fa3e04e5488.sol | 14.89%               | 14.88% (-0.07%)      | 14.64% (-1.63%)      | 14.74% (-0.97%)      |
| 0xa1fceeff3acc57d257b917e30c4df661401d6431.sol | 37.52%               | 37.24% (-0.76%)      | 44.48% (+18.55%)     | 47.15% (+25.67%)     |
| 0xa46edd6a9a93feec36576ee5048146870ea2c3ae.sol | 61.64%               | 64.27% (+4.26%)      | 66.03% (+7.11%)      | 63.97% (+3.77%)      |
| 0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol | 20.34%               | 19.58% (-3.72%)      | 20.25% (-0.40%)      | 19.63% (-3.47%)      |
| 0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6.sol | 11.38%               | 11.14% (-2.07%)      | 11.14% (-2.10%)      | 11.19% (-1.67%)      |
| 0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77.sol | 19.04%               | 18.81% (-1.20%)      | 19.25% (+1.08%)      | 19.02% (-0.12%)      |
| 0xb37f18af15bafb869a065b61fc83cfc44ed9cc27.sol | 17.44%               | 18.09% (+3.71%)      | 17.91% (+2.68%)      | 17.31% (-0.78%)      |
